og_id	x_start	x_end	num_snps	haplotype_frequencies	db	dS_b	dN_b	pi1	piS_1	piN_1	pi2	piS_2	piN_2	d1A	dS_1A	dN_1A	d1Bp	dS_1Bp	dN_1Bp	d1C	dS_1C	dN_1C	d1_closest	dS1_closest	dN1_closest	d2A	dS_2A	dN_2A	d2Bp	dS_2Bp	dN_2Bp	d2C	dS_2C	dN_2C	d2_closest	dS2_closest	dN2_closest	other_species_hits	donor_species
YSG_0005d	95	123	7	65;13	0.21212121212121574	0.5671641791044671	0.030534351145038517	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.05172413793103449							0.07142857142857142	0.0	0.05172413793103449	0.25	0.02926829268292683	0.33719008264462813							0.25	0.02926829268292683	0.33719008264462813	;	;
YSG_0009fb	410	431	7	72;6	0.34085648148148123	0.7214222494553384	0.23080958393458598	0.012503260302556218	0.0	0.01667101373674171	0.0	0.0	0.0	0.2857142857142857	0.40404040404040414	0.2437275985663082				0.3333333333333333	0.06451612903225806	0.4842105263157894	0.2857142857142857	0.06451612903225806	0.2437275985663082	0.14285714285714285	0.3157894736842105	0.06818181818181818				0.38095238095238093	0.0	0.5333333333333332	0.14285714285714285	0.0	0.06818181818181818	;	;
YSG_0009fcb	59	108	11	61;22	0.2043108682452915	0.5493538034521556	0.08354584092288853	0.0	0.0	0.0	0.0012143290831815444	0.004574914220358373	0.0	0.02040816326530612	0.0	0.027272727272727275							0.0	0.0	0.0	0.24489795918367346	0.05037313432835821	0.2833710407239819							0.0	0.0	0.0	Ga0393473_27_8118_8915,Ga0393518_15_4141_4938,Ga0393440_011_22691_23488,Ga0393483_15_2939_3736,Ga0374771_002_36141_36938,Ga0393453_003_27164_27961,Ga0393392_002_17387_18184,Ga0374735_06_6692_7489,Ga0374741_060_1492_2289,Ga0393402_01_3682_4479,Ga0393431_018_6994_7791,Ga0393397_006_16937_17734,Ga0393432_001_18066_18863,Ga0374815_004_20983_21780,Ga0393406_05_7237_8034,Ga0393426_003_27660_28457,Ga0393425_001_34889_35686,Ga0374816_051_3287_4084,Ga0374808_05_6340_7137,Ga0374819_009_16382_17179,Ga0393407_052_1969_2766,Ga0393430_04_25373_26170,Ga0374780_026_10222_11019,Ga0374705_001_72325_73122,Ga0374767_003_11261_12058,Ga0374743_06_15810_16607,Ga0393410_08_25686_26483,Ga0393404_001_6582_7379,Ga0393412_37_4712_5509,Ga0393389_042_7714_8511,Ga0393393_015_7918_8715,Ga0393447_002_27470_28267,Ga0393429_002_31203_32000,Ga0393405_038_6753_7550,Ga0393427_19_6874_7671,Ga0393435_030_7157_7954,Ga0393515_003_1593_2390,Ga0393411_07_21176_21973,Ga0393448_006_11006_11803,Ga0374776_046_7347_8144,Ga0374723_23_4062_4877;Ga0374799_01_18053_18850	A;A
YSG_0009fcb	425	450	6	73;10	0.20000000000000034	0.5	0.1351351351351341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.24	0.0	0.2564102564102564							0.0	0.0	0.0	Ga0393473_27_8118_8915,Ga0393518_15_4141_4938,Ga0374799_01_18053_18850,Ga0393392_002_17387_18184,Ga0374735_06_6692_7489,Ga0374741_060_1492_2289,Ga0393402_01_3682_4479,Ga0393431_018_6994_7791,Ga0393397_006_16937_17734,Ga0393432_001_18066_18863,Ga0374815_004_20983_21780,Ga0393406_05_7237_8034,Ga0393426_003_27660_28457,Ga0393425_001_34889_35686,Ga0374816_051_3287_4084,Ga0374808_05_6340_7137,Ga0374819_009_16382_17179,Ga0393407_052_1969_2766,Ga0393430_04_25373_26170,Ga0374780_026_10222_11019,Ga0374705_001_72325_73122,Ga0374767_003_11261_12058,Ga0374743_06_15810_16607,Ga0393410_08_25686_26483,Ga0393404_001_6582_7379,Ga0393412_37_4712_5509,Ga0393389_042_7714_8511,Ga0393393_015_7918_8715,Ga0393447_002_27470_28267,Ga0393429_002_31203_32000,Ga0393405_038_6753_7550,Ga0393427_19_6874_7671,Ga0393435_030_7157_7954,Ga0393515_003_1593_2390,Ga0393411_07_21176_21973,Ga0393448_006_11006_11803,Ga0374723_23_4062_4877;Ga0393441_012_19113_19910	A;A
YSG_0013a	332	360	9	86;5	0.27272727272727004	0.6842105263157855	0.10638297872340334	0.0	0.0	0.0	0.0	0.0	0.0	0.32142857142857145	0.03546099290780142	0.40289855072463765							0.2857142857142857	0.03546099290780142	0.39601139601139596	0.10714285714285714	0.0	0.15789473684210523							0.10714285714285714	0.0	0.15789473684210523	;	;
YSG_0013a	577	594	5	69;22	0.2380952380952405	0.6206896551724336	0.12371134020618965	0.0	0.0	0.0	0.0	0.0	0.0	0.29411764705882354	0.0	0.4347826086956521							0.35294117647058826	0.0	0.4347826086956521	0.35294117647058826	0.0	0.5294117647058822							0.35294117647058826	0.0	0.5294117647058822	;	;
YSG_0013ea	332	340	5	31;28	0.4166666666666695	0.6315789473684283	0.3396226415094358	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.0	0.9230769230769229							0.5	0.0	0.9230769230769229	0.375	0.0	0.5							0.375	0.0	0.5	;	;
YSG_0013ea	792	813	5	51;8	0.22395833333333254	0.19999999999999946	0.23165137614678905	0.0	0.0	0.0	0.02232142857142857	0.10044642857142858	0.0	0.19047619047619047	0.3636363636363637	0.1935483870967742							0.23809523809523808	0.3636363636363637	0.1935483870967742	0.42857142857142855	0.5333333333333334	0.39583333333333337							0.42857142857142855	0.5333333333333334	0.39583333333333337	;	;
YSG_0014a	26	49	5	36;24	0.2222222222222262	0.4615384615384563	0.14634146341463186	0.0	0.02631578947368414	0.016129032258064595	0.0	0.0	0.0	0.08695652173913043	0.0	0.13333333333333336				0.13043478260869565	0.0	0.06666666666666668	0.08695652173913043	0.0	0.06666666666666668	0.17391304347826086	0.02857142857142857	0.18681318681318682				0.13043478260869565	0.02857142857142857	0.18681318681318682	0.13043478260869565	0.02857142857142857	0.18681318681318682	;	;
YSG_0014a	215	232	8	52;8	0.3809523809523798	0.8282828282828317	0.22222222222222368	0.0	0.0	0.0	0.0	0.0	0.0	0.23529411764705882	0.0	0.29032258064516125				0.4117647058823529	0.056818181818181816	0.5110294117647058	0.23529411764705882	0.0	0.29032258064516125	0.47058823529411764	0.06818181818181818	0.5073529411764706				0.29411764705882354	0.0	0.48648648648648646	0.29411764705882354	0.0	0.368421052631579	;	;
