og_id	x_start	x_end	num_snps	haplotype_frequencies	db	pi1	pi2	d1A	d1Bp	d1C	d1_closest	d2A	d2Bp	d2C	d2_closest	other_species_hits	donor_species
YSG_0005e	503	558	17	33;3	0.265625	0.0	0.0		0.3090909090909091		0.2727272727272727		0.0		0.0	;Ga0393485_06_10702_11424,Ga0393566_011_14369_15094,Ga0374790_024_12760_13485,Ga0374864_31_838_1563,Ga0374812_07_6561_7286,Ga0374800_007_21619_22344,Ga0374851_093_2437_3162,Ga0374796_002_10539_11264,Ga0374795_007_14622_15347,Ga0374871_044_2054_2779,Ga0374823_04_16841_17566,Ga0393514_48_2714_3439,Ga0374867_023_2015_2740,Ga0374849_142_2014_2739,Ga0374856_015_5825_6550,Ga0374863_063_2238_2963,Ga0393488_25_4540_5265,Ga0393546_077_245_970,Ga0393560_041_10712_11437,Ga0393562_007_26230_26955,Ga0374773_026_5819_6544,Ga0393558_034_5864_6589,Ga0393569_110_2245_2970,Ga0393539_038_4397_5122,Ga0393496_15_3745_4470,Ga0393522_30_5468_6193,Ga0393502_17_1898_2623,Ga0374878_19_1612_2337,Ga0374881_047_6342_7067,Ga0374753_044_5910_6635,Ga0374868_19_16270_16995,Ga0374759_077_6136_6861,Ga0374768_008_18880_19605,Ga0393513_029_813_1538,Ga0374747_051_3947_4672,Ga0374829_006_13590_14315,Ga0374750_038_5819_6544,Ga0374757_034_6711_7436,Ga0393556_006_24102_24827,Ga0374785_040_12806_13531,Ga0374754_086_4399_5124,Ga0374749_016_23326_24051,Ga0374764_017_15775_16500,Ga0393535_022_6538_7263,Ga0374855_002_27769_28494,Ga0393549_049_6136_6861,Ga0393479_008_13166_13891,Ga0374769_003_28248_28973,Ga0374724_22_6133_6858,Ga0374765_082_6192_6917,Ga0393439_085_1398_2123,Ga0393573_024_13990_14715,Ga0374869_19_6684_7409,Ga0374781_034_12842_13567,Ga0393561_002_6119_6844,Ga0374792_093_319_1044,Ga0393543_034_3849_4574,Ga0374761_013_20896_21621,Ga0374763_014_21257_21982,Ga0393576_060_7143_7868,Ga0374787_028_12220_12945,Ga0393478_07_6289_7014,Ga0374745_042_5807_6532,Ga0374748_036_5143_5868,Ga0393466_034_6126_6851,Ga0393450_027_10802_11527,Ga0393451_061_1548_2273,Ga0374791_16_2307_3032,Ga0393449_05_26789_27514,Ga0393497_021_12599_13324,Ga0393490_054_7076_7801,Ga0374821_81_293_1048,Ga0393540_129_1230_2018	;Bp
YSG_0005e	584	639	9	33;3	0.12328767123287675	0.0	0.0		0.16363636363636364		0.14545454545454545		0.0		0.0	;Ga0393485_06_10702_11424,Ga0393566_011_14369_15094,Ga0374790_024_12760_13485,Ga0374864_31_838_1563,Ga0374812_07_6561_7286,Ga0374800_007_21619_22344,Ga0374851_093_2437_3162,Ga0374796_002_10539_11264,Ga0374795_007_14622_15347,Ga0374871_044_2054_2779,Ga0374823_04_16841_17566,Ga0393514_48_2714_3439,Ga0374867_023_2015_2740,Ga0374849_142_2014_2739,Ga0374856_015_5825_6550,Ga0374863_063_2238_2963,Ga0393488_25_4540_5265,Ga0393546_077_245_970,Ga0393560_041_10712_11437,Ga0393562_007_26230_26955,Ga0374773_026_5819_6544,Ga0393558_034_5864_6589,Ga0393569_110_2245_2970,Ga0393539_038_4397_5122,Ga0393496_15_3745_4470,Ga0393522_30_5468_6193,Ga0393502_17_1898_2623,Ga0374878_19_1612_2337,Ga0374881_047_6342_7067,Ga0374753_044_5910_6635,Ga0374868_19_16270_16995,Ga0374759_077_6136_6861,Ga0374768_008_18880_19605,Ga0393513_029_813_1538,Ga0374829_006_13590_14315,Ga0374750_038_5819_6544,Ga0374757_034_6711_7436,Ga0393556_006_24102_24827,Ga0374785_040_12806_13531,Ga0374764_017_15775_16500,Ga0393535_022_6538_7263,Ga0374855_002_27769_28494,Ga0374769_003_28248_28973,Ga0374724_22_6133_6858,Ga0374765_082_6192_6917,Ga0393573_024_13990_14715,Ga0374869_19_6684_7409,Ga0374781_034_12842_13567,Ga0393561_002_6119_6844,Ga0374792_093_319_1044,Ga0393543_034_3849_4574,Ga0374761_013_20896_21621,Ga0374763_014_21257_21982,Ga0393478_07_6289_7014,Ga0374745_042_5807_6532,Ga0374748_036_5143_5868,Ga0393466_034_6126_6851,Ga0393450_027_10802_11527,Ga0393451_061_1548_2273,Ga0374791_16_2307_3032,Ga0393449_05_26789_27514,Ga0393497_021_12599_13324,Ga0393490_054_7076_7801,Ga0374821_81_293_1048,Ga0393540_129_1230_2018	;Bp
YSG_0005iba	307	327	12	30;3	0.07210526315789464	0.010526315789473684	0.00035087719298245606		0.15	0.6	0.1		0.45	0.0	0.0	;Ga0374717_03_59410_60453	;C
YSG_0005iba	947	1041	26	30;3	0.1221276595744681	0.0002836879432624115	0.014184397163120567		0.1702127659574468	0.2872340425531915	0.20212765957446807		0.18085106382978725	0.0	0.0	;Ga0374717_03_59410_60453	;C
YSG_0005ibbb	216	297	11	15;11	0.11111111111111083	0.0	0.0		0.1111111111111111	0.13580246913580246	0.12345679012345678		0.12345679012345678	0.0	0.0	;Ga0374717_25_7531_8652	;C
YSG_0005ibbb	320	499	8	16;10	0.04215686274509796	0.0058823529411764705	0.0		0.16201117318435754	0.07262569832402235	0.0670391061452514		0.17318435754189945	0.027932960893854747	0.027932960893854747	;	;
YSG_0005ibbb	635	663	6	16;10	0.13953488372093042	0.0	0.0		0.14285714285714285	0.21428571428571427	0.14285714285714285		0.14285714285714285	0.0	0.0	;Ga0374717_25_7531_8652	;C
YSG_0005ibbb	827	855	5	14;12	0.10869565217391279	0.0	0.0		0.17857142857142858	0.0	0.0		0.14285714285714285	0.17857142857142858	0.14285714285714285	Ga0374717_25_7531_8652;	C;
YSG_0005ibbb	881	948	11	14;12	0.10760517799352759	0.0	0.0016181229773462777		0.16417910447761194	0.16417910447761194	0.13432835820895522		0.1791044776119403	0.0	0.0	;Ga0374717_25_7531_8652	;C
YSG_0005ibbb	1028	1078	9	15;11	0.16190476190476166	0.0023809523809523803	0.0		0.34	0.18	0.14		0.28	0.0	0.0	;Ga0374717_25_7531_8652	;C
